customer_id,name,age,gender,signup_date,last_purchase_date,total_purchases,total_spent,country,email,device_type,is_subscribed,feedback_score
9042c717-0fd5-4581-a027-91d9758eaca8,George Jones,19,Female,2023-05-17,2024-04-02,18,8864.01,Turkey,georgejones12@example.com,Mobile,0,1.4
b6f7fde5-4473-470f-a419-153fd25fd8f1,William Nelson,56,Male,2023-02-12,2025-05-09,29,5445.59,India,williamnelson1@example.org,Desktop,1,2.1
e997aecb-5427-469a-a0c5-59a9e417f31d,Jennifer Young,24,Male,2022-07-18,2025-01-05,109,4193.07,India,jenniferyoung6@example.com,Mobile,0,4.9
6522d7c2-bcef-48f9-b0d6-2fd8e7b4ef0d,Christopher Williams,53,Male,2024-01-11,2024-01-29,91,927.71,Brazil,christopherwilliams99@example.net,Tablet,0,4.5
d6ebe5ab-14e2-4b64-b1eb-1ad16df6e854,Christopher Harris,47,Female,2024-01-18,2023-11-30,48,4327.72,India,christopherharris90@example.com,Desktop,0,3.1
dce5b7f4-a6e8-4583-a4a1-fc4621c7593b,Lisa Wilson,47,Male,2025-02-14,2024-03-25,88,3958.96,Eritrea,lisawilson30@example.org,Desktop,1,2.1
7ec14679-720a-41a0-9234-6875f9808d7a,Jennifer Campbell,74,Female,2023-03-12,2025-10-19,51,10627.73,Mexico,jennifercampbell19@example.net,Mobile,1,4.0
6ec7aee4-50ee-41bd-9708-79421510a99d,Dorothy Mitchell,43,Male,2022-10-11,2025-11-09,64,1181.82,Eritrea,dorothymitchell15@example.org,Desktop,1,3.4
12bfb494-d251-4e97-8880-9f8979dbd4cb,Christopher Wright,56,Other,2024-12-19,2024-05-29,71,10343.28,Bangladesh,christopherwright88@example.com,Mobile,1,4.1
abd32bc1-6571-4b3c-bbd8-d3a35b148b63,Betty Jones,36,Male,2024-07-18,2023-01-07,93,10522.65,India,bettyjones65@example.org,Mobile,0,4.5
0d0ff61f-a8aa-4549-acc0-a5cd776aae2f,Nancy Nelson,56,Male,2024-02-05,2023-11-27,70,11446.65,Argentina,nancynelson1@example.com,Mobile,0,1.4
b278f9a0-4fd2-43fa-8f6a-0bca368f4528,Sandra Martin,33,Male,2025-03-07,2023-06-11,11,8809.7,Russian Federation,sandramartin98@example.com,Desktop,0,3.6
1ee8503b-e165-4e5b-a159-ba807e7985b5,Sharon Wilson,34,Female,2025-05-27,2025-05-16,28,11154.07,Germany,sharonwilson92@example.net,Mobile,1,2.8
0c4f41c4-f12f-49f3-a470-04c5bb3c1e3a,Ruth Hill,25,Male,2022-05-12,2024-11-23,3,7100.87,Brazil,ruthhill76@example.org,Mobile,0,1.9
5ad579d7-3429-43e4-954c-e28c9719c566,John Young,22,Female,2023-07-25,2025-09-21,28,6516.88,Indonesia,johnyoung74@example.net,Mobile,1,4.2
8b4a2a68-232e-4c77-b313-6445f4b74df1,Robert Brown,24,Female,2023-12-27,2025-05-17,53,5657.59,Eritrea,robertbrown87@example.com,Tablet,0,1.2
66791062-9f2d-433a-92b0-81736b272068,Brian Young,69,Female,2023-05-25,2024-01-28,25,6481.8,Mauritius,brianyoung55@example.org,Mobile,0,4.5
f7ca7ff6-a1d6-4265-a112-a64a0e2ff2f4,Amy Hill,69,Female,2025-02-01,2023-07-20,7,7860.52,Turkey,amyhill2@example.org,Tablet,0,1.7
2fe7fc0f-5aaa-40c7-9261-64a85db5f01e,Carol Green,31,Female,2022-05-01,2023-12-04,49,125.65,France,carolgreen34@example.net,Mobile,1,1.6
67f1bdce-c9e4-43e7-8ca5-a08ad42bda09,Joseph Taylor,21,Female,2025-01-15,2023-05-05,96,3831.9,Eritrea,josephtaylor75@example.net,Mobile,0,1.2
0ce443dc-ac79-4711-a505-af81a2f9b073,Donald Williams,72,Male,2025-05-03,2023-05-20,87,10355.65,France,donaldwilliams16@example.com,Mobile,0,3.5
025b80ab-75d8-4882-83d4-7c4ef2d1dfd2,Daniel Mitchell,54,Female,2023-06-19,2024-02-23,86,8622.68,Brazil,danielmitchell34@example.net,Mobile,1,2.8
50435600-05f2-423f-8fda-72b277e0e8cc,Ronald Johnson,18,Female,2025-02-27,2023-07-24,10,6497.85,Argentina,ronaldjohnson34@example.org,Tablet,0,4.5
2833e075-2904-46c2-b7f1-acb7de43654a,Sandra Thompson,28,Male,2025-01-17,2024-09-11,79,11807.85,Argentina,sandrathompson2@example.com,Desktop,1,4.7
9f56362f-e536-49d5-9515-53013833bb80,Michael Garcia,34,Male,2022-08-08,2023-11-15,35,3452.9,Germany,michaelgarcia92@example.net,Mobile,1,3.0
1c151929-f788-4ff2-a5c0-edc5a146e60e,Richard Nolan,23,Female,2023-07-21,2023-04-01,1,4069.32,Mauritius,richardnolan82@example.net,Mobile,1,3.2
26741595-61f2-4271-bbbe-fefff0054c5f,Dorothy Rivera,18,Male,2022-11-02,2023-03-15,107,4493.67,Turkey,dorothyrivera19@example.net,Mobile,1,2.5
70872dc8-2c5b-464b-a132-314323fc5fed,John Allen,31,Female,2022-07-30,2024-12-25,100,6762.61,Nigeria,johnallen80@example.com,Mobile,0,4.5
02c166b9-eeac-40d4-a2a9-286328713622,Ashley Torres,19,Male,2023-11-12,2025-04-23,103,8071.89,Brazil,ashleytorres35@example.org,Desktop,0,2.5
15ba2bda-1d38-4ae8-9768-77fd0809b843,John Green,32,Male,2024-07-31,2024-12-17,40,9864.38,Brazil,johngreen29@example.org,Desktop,1,2.3
7f331f27-2c49-4e84-b84f-8fa8cb986370,Amy Harris,40,Female,2024-03-29,2024-11-09,4,1472.57,India,amyharris23@example.com,Tablet,1,1.2
36640598-6319-45fb-93d1-a6333e6a2c0b,Steven Nguyen,40,Female,2023-10-05,2025-06-12,78,11812.41,Serbia,stevennguyen50@example.com,Mobile,0,3.8
3b6c99bb-4b11-46d9-955c-a9137d55946d,Andrew Baker,69,Female,2023-02-08,2025-01-15,56,932.69,Canada,andrewbaker80@example.net,Desktop,0,3.9
bbc0ae1e-4e8e-4a22-8ace-0645ab0a09e7,Nancy Nelson,37,Female,2023-10-31,2025-04-04,90,3618.3,Mauritius,nancynelson25@example.net,Desktop,1,3.7
c9e68877-9756-4852-aec4-fbf55ff40d7b,Ashley Roberts,54,Male,2025-01-27,2023-01-01,39,3514.27,Nigeria,ashleyroberts75@example.com,Desktop,1,2.8
